channel,watch_time_min,stream_time_min,peak_viewers,avg_viewers,followers,followers_gained,views_gained,partnered,mature,language,avg_to_peak_ratio,watch_per_follower,views_per_follower,follower_growth_rate,viewers_per_stream_hr,stickiness,avg_to_peak_ratio_scaled,watch_per_follower_scaled,views_per_follower_scaled,follower_growth_rate_scaled,viewers_per_stream_hr_scaled,stickiness_scaled,engagement_efficiency_score
김나성 (naseongkim),350120640,215505,7628,1584,103260,20536,8471746,True,False,Korean,0.2076560041950708,3390.670540383498,82.04286267673832,0.1988766221189231,0.4410106494048862,1.0256641728765346,0.43619046499271297,0.6135265076327816,0.1321098801123926,0.1866697066584014,0.004014081384787854,0.2181411220237245,0.2651086271341334
오킹 (obm1025),346276365,96000,19328,3563,428179,244442,8920133,True,False,Korean,0.1843439569536424,808.7187017579097,20.832719493482866,0.5708874092377253,2.226875,1.012361905346618,0.3833806839420486,0.1299731955589359,0.03005306462959583,0.5676675123008198,0.022590337632854743,0.2017893590896107,0.2225756921923109
singsing,346171920,126795,11839,2735,572005,45761,6526670,True,True,English,0.2310161331193513,605.1903742100156,11.410162498579558,0.08000104894187988,1.294215071572223,0.9982340464783118,0.48910916754296374,0.09185598693624392,0.014342659285076938,0.0649223431593039,0.012888968199613805,0.18442274107041892,0.14292364436560354
BlackUFA,345166455,88035,10349,3889,279922,34803,12888906,True,False,Russian,0.37578510000966275,1233.0808403769622,46.04463386229021,0.12433106365344632,2.650536718350656,1.0081734830943587,0.817060520988307,0.2094486197625164,0.07208936055855752,0.11032328021280177,0.026997194536603084,0.19664075659887886,0.23875995544294407
QuattroAce,342273825,185715,48810,1696,157620,136490,7245324,True,False,Russian,0.03474697807826265,2171.5126570232205,45.96703464027408,0.8659434081969293,0.5479363540909458,1.0866779571711371,0.04449222775317926,0.3852000827860595,0.07195997792569553,0.8698514597496024,0.005126304319912501,0.29314208965986044,0.27829535703238495
bateson87,342162660,98730,20204,3344,598678,254821,16648694,True,False,English,0.16551177984557514,571.5303719194626,27.809096041611685,0.4256394923481404,2.032209054998481,1.0363756671449902,0.3407193449577584,0.08555207167782673,0.0416849076066543,0.418910703290893,0.02056545568932119,0.23130818655268479,0.18979011162918977
Staiy,341874270,91545,15429,3711,259624,90591,5503882,True,False,German,0.24052109663620455,1316.805341570887,21.19943456691215,0.3489315317536129,2.432246436178928,1.0063309574746957,0.5106411693024462,0.22512871853446095,0.030664495523846227,0.34034963551065456,0.02472657626890903,0.19437583882715292,0.22098107232791162
polsatgames,340417455,57870,66706,5695,141026,74586,16290334,True,False,Polish,0.08537462896890835,2413.8630819848822,115.51298342149674,0.5288811992114929,5.904613789528253,1.0329150605949304,0.1591812179973775,0.4305879745815537,0.18791523784220712,0.5246465182933582,0.060845548979094985,0.22705424880954775,0.2650384577505232
NymN,340095510,100125,23488,3402,241746,111122,4409296,True,True,English,0.1448399182561308,1406.8299372068204,18.23937521199937,0.45966427572741636,2.0386516853932584,0.9984448011414303,0.2938904897678912,0.24198871210081532,0.02572913325066827,0.4537574557341841,0.020632470831364363,0.1846818104569594,0.20344667869031377
orangemorange,338213940,122835,18387,2653,261139,85861,9889442,True,False,German,0.14428672431609288,1295.1490968411458,37.870413840904654,0.3287942436786539,1.2958847234094517,1.0378441067437278,0.2926373157952493,0.22107289196578161,0.058460330776014216,0.3197258718086131,0.01290633563312749,0.23311326047317404,0.1896526677419933
MinosTV_,338084550,167190,24576,2034,204605,192534,5554989,True,True,French,0.082763671875,1652.376774761125,27.149820385621076,0.9410033967889347,0.7299479633949398,0.9941778391073269,0.15326650484353052,0.2879752346967778,0.040585684986404996,0.9467247438997374,0.007019558022763631,0.1794366632312247,0.2691680649467399
