channel,watch_time_min,stream_time_min,peak_viewers,avg_viewers,followers,followers_gained,views_gained,partnered,mature,language,avg_to_peak_ratio,watch_per_follower,views_per_follower,follower_growth_rate,viewers_per_stream_hr,stickiness,avg_to_peak_ratio_scaled,watch_per_follower_scaled,views_per_follower_scaled,follower_growth_rate_scaled,viewers_per_stream_hr_scaled,stickiness_scaled,engagement_efficiency_score,cluster
Rubius,2588632635,58275,240096,42948,5751354,3820532,58599449,True,False,Spanish,0.1788784486205517,450.0909933556516,10.18880927864986,0.6642839234030804,44.21930501930502,1.034296834254923,0.3709994333632422,0.062808652206463,0.0123062742396686,0.6633202949183507,0.4593884294127157,0.2287527889468579,0.2995959788478831,1
auronplay,2410022550,40575,170115,53986,3983847,3966525,41514854,True,False,Spanish,0.3173500279222879,604.9485710671117,10.420795276525428,0.9956519414525709,79.83142329020333,1.1002247929958977,0.6846850444522973,0.0918107015405708,0.0126930688287434,1.0,0.8298196070753545,0.3097944872616722,0.4881338181931063,1
MontanaBlack88,2408460990,67740,181600,33514,2911316,1101093,37189666,True,True,German,0.1845484581497797,827.2757028093138,12.77417703883742,0.3782114342792056,29.68467670504872,1.0608846332770097,0.3838439492778112,0.1334485893235775,0.0166169062155926,0.3703368804990967,0.30820170577043,0.2614357421028714,0.2456472955315632,1
sodapoppin,2329440420,115305,107833,19659,2786162,236169,39334821,True,True,English,0.1823096825647065,836.0750092779961,14.117923150197296,0.0847649921289573,10.22973851957851,1.0276424697128714,0.3787723548680683,0.1350965417459391,0.0188573592158773,0.0698013734544711,0.1058347584134459,0.2205729360590637,0.1548225539594776,1
풍월량 (hanryang1125),2186662470,181230,26999,12201,494445,92205,34405975,True,False,Korean,0.4519056261343013,4422.458453417468,69.58503979209011,0.1864818129417832,4.039397450753187,0.9889087818221526,0.9894996155247858,0.8067618946146403,0.1113387192338846,0.1739754642832772,0.0414438868900227,0.1729596941415813,0.382663212448032,0
alanzoka,2055003870,103770,89153,19560,3445134,1325075,46515698,True,False,Portuguese,0.2193981133556919,596.4946124011432,13.501854499708864,0.3846221946664483,11.309627059843884,1.012446251768452,0.4627903687859503,0.0902274265731955,0.0178301764432542,0.3769025117243515,0.1170675747450086,0.2018930416152455,0.2111185166478343,1
CohhCarnage,2029212570,175230,43615,11343,1264808,124242,38718674,True,False,English,0.2600710764645191,1604.364116925257,30.61229372363236,0.0982299289694562,3.883923985618901,1.02091868135736,0.5549285775933593,0.2789833242472161,0.0463587314815517,0.0835915955850609,0.0398266784345502,0.212307744206531,0.2026661085913782,1
Lord_Kebun,1943299035,153720,34830,12367,434200,137215,19645967,True,False,English,0.3550674705713465,4475.585064486412,45.24635421464762,0.3160179640718563,4.827088212334114,1.0222212348758473,0.7701279859262666,0.8167115568652429,0.0707583739856423,0.3066409434597226,0.0496373117862005,0.2139089032792528,0.3712975125503879,0
LCK_Korea,1916365860,47325,140557,39848,619382,255088,76225485,True,False,Korean,0.283500643866901,3093.996693478338,123.06700065549208,0.4118427723117559,50.52044374009509,1.0162048748795345,0.608004582108,0.5579648123561401,0.2005101919284218,0.4047806827620888,0.5249317992061757,0.2065133151086837,0.417117563911585,0
Castro_1021,1845157080,100215,125133,17779,2411995,550678,22672980,True,False,English,0.1420808260011347,764.9920833169223,9.40009411296458,0.2283081017995476,10.644514294267326,1.035602960356646,0.2876401996764237,0.121783983484328,0.0109912347062396,0.2168121905954233,0.1101491852474561,0.2303583396042479,0.1629558555523531,1
DrDisrespect,1839882465,73065,97540,23794,4450718,825004,43919410,True,False,English,0.2439409473036703,413.3900339226165,9.867938161887588,0.1853642490941911,19.53931430917676,1.0583108156133894,0.5183883037820762,0.0559352201677079,0.0117712798309947,0.1728309023825441,0.2026713772589634,0.2582718863033619,0.2033114949542747,1
TheRealKnossi,1811696100,56010,288459,24595,1260160,1082039,25342894,True,True,German,0.0852634169847361,1437.6714861604876,20.110854177247333,0.8586520759268664,26.34708087841457,1.315142915662223,0.1589292847169787,0.2477647815545244,0.0288494850992895,0.8623839838287589,0.2734846034847082,0.573981790981204,0.357565654944244,1
TheGrefg,1757406750,54855,538444,28887,3795667,3593081,47094362,True,False,Spanish,0.0536490331399365,463.0034062524453,12.407400859980603,0.9466270355118086,31.59639048400328,1.1090563923001755,0.0873118642645814,0.0652269157579758,0.0160053734391211,0.9524842382136924,0.3280870262982664,0.3206506978910147,0.2949610193107753,1
YoDa,1690237110,135675,123796,12868,1792625,383130,38499423,True,False,Portuguese,0.1039452001680183,942.88382121191,21.476562582804547,0.2137256816121609,5.690657822001105,0.968136848311202,0.20124992988931,0.1550999182600454,0.0311265562430699,0.2018774890095369,0.0586200155127581,0.1474258720552074,0.1325666301616546,1
Pestily,1659741015,138300,168112,8481,616168,520342,24029726,True,False,English,0.0504485105167983,2693.6501327560018,38.99865945651186,0.8444807260357565,3.6793926247288495,1.4150477103214765,0.0800615830162121,0.4829870755453292,0.0603414757729564,0.8478702831553977,0.0376991781183065,0.6967893886013427,0.3676248307015908,1
한동숙 (handongsuk),1621667925,127815,44976,12869,385250,73602,30610352,True,False,Korean,0.2861303806474564,4209.391109669046,79.45581310837119,0.1910499675535366,6.041074991198216,0.9859055278029444,0.6139618376919374,0.7668581991920449,0.1277964440262649,0.1786539761522288,0.0622649951141251,0.1692679552976158,0.3198005679123695,0
GamesDoneQuick,1619144100,87450,234826,6734,1724316,113469,43345080,True,False,English,0.0286765520002044,939.0065973986208,25.137550193815983,0.0658052236365028,4.620240137221269,2.749492730624806,0.0307406310467007,0.1543737837177506,0.0372305892949646,0.0503835757958066,0.0474857134039184,1.0,0.2200357155431902,1
Solary,1546597380,486510,24470,3187,493207,143569,48799554,True,False,French,0.1302411115651818,3135.7977076562174,98.94335238550951,0.2910927865987303,0.3930443361904174,0.9974782512642942,0.2608191864642545,0.5657933932581445,0.1602883824010264,0.2811136247600201,0.0035151439793516,0.1834936826118847,0.2425039022457803,0
Gotaga,1538511315,141675,81644,10750,2401580,632118,39591707,True,False,French,0.1316691979814805,640.6246366975075,16.485691503093797,0.2632092205964407,4.55267337215458,1.010180565575486,0.2640542919093111,0.098492189335682,0.0228051836340314,0.2525564489247796,0.046782895442793,0.1991079552811183,0.1472998274212859,1
MOONMOON,1527882945,124680,24892,11220,923448,95776,13505898,True,True,English,0.4507472280250683,1654.5413981079605,14.625510044961926,0.1037156396461955,5.399422521655438,1.0921956250782752,0.9868754465753774,0.2883806298606596,0.0197036683301264,0.0892098297938432,0.0555906356128228,0.2999246624327939,0.2899474787676039,1
DrLupo,1517612010,172350,90696,8311,4115083,567795,47295386,True,False,English,0.0916357943018435,368.7925638437912,11.49317911692182,0.1379789909462336,2.8932985204525674,1.0594883478322423,0.1733649045234887,0.0475829131865638,0.0144810744440612,0.124300913470137,0.0295223613789698,0.2597193634080484,0.1081619217352115,1
